,judul,link
0,"Jawaban dari Soal ""Nomor Telepon di Kota Malang Terdiri dari Enam Angka""",https://www.kompas.com/skola/read/2023/10/11/143000369/jawaban-dari-soal-nomor-telepon-di-kota-malang-terdiri-dari-enam-angka-
1,"Tak Ada Tempat Aman, Warga Sipil di Gaza: Ke Mana Kami Akan Pergi?",https://www.kompas.com/tren/read/2023/10/11/143000565/tak-ada-tempat-aman-warga-sipil-di-gaza--ke-mana-kami-akan-pergi-
2,Kepala Badan Wasit Inggris Buka Suara soal Blunder VAR Tottenham Vs Liverpool,https://bola.kompas.com/read/2023/10/11/14300088/kepala-badan-wasit-inggris-buka-suara-soal-blunder-var-tottenham-vs-liverpool
3,[KLARIFIKASI] Video Pengunjung Pantai Israel Menyelamatkan Diri Terjadi pada 2021,https://www.kompas.com/cekfakta/read/2023/10/11/142739882/klarifikasi-video-pengunjung-pantai-israel-menyelamatkan-diri-terjadi
4,"Setelah Dipecat PSI, Viani Limardi Kini Gabung Gerindra dan Ingin Kembali ""Nyaleg""",https://megapolitan.kompas.com/read/2023/10/11/14255091/setelah-dipecat-psi-viani-limardi-kini-gabung-gerindra-dan-ingin-kembali
5,PP Muhammadiyah Desak PBB Ambil Langkah Konkret Hentikan Perang Hamas-Israel,https://nasional.kompas.com/read/2023/10/11/14240471/pp-muhammadiyah-desak-pbb-ambil-langkah-konkret-hentikan-perang-hamas-israel
6,Warga Thailand yang Tewas dalam Perang Israel-Hamas Naik Jadi 20 Orang,https://www.kompas.com/global/read/2023/10/11/142400570/warga-thailand-yang-tewas-dalam-perang-israel-hamas-naik-jadi-20-orang
7,Truk Listrik Mercedes-Benz eActros 600 Punya Teknologi AVAS,https://otomotif.kompas.com/read/2023/10/11/142100815/truk-listrik-mercedes-benz-eactros-600-punya-teknologi-avas
8,Ibu-ibu Kota Bekasi Senang Dapat Beras Murah di Operasi Pasar,https://megapolitan.kompas.com/read/2023/10/11/14203311/ibu-ibu-kota-bekasi-senang-dapat-beras-murah-di-operasi-pasar
9,Guru Honorer di Langkat Cabuli 10 Siswi saat Jam Pelajaran,https://medan.kompas.com/read/2023/10/11/141608278/guru-honorer-di-langkat-cabuli-10-siswi-saat-jam-pelajaran
